question,approach,network,run,warmup,total_ms,db_ms,network_ms,json_ms,rows,payload_bytes
sales-hierarchy,pgduckdb-star,direct,1,true,2664.927,2664.814,0.113,0.0,17,
sales-hierarchy,pgduckdb-star,direct,1,false,2117.546,2117.424,0.123,0.0,17,
sales-hierarchy,pgduckdb-star,direct,2,false,2223.781,2223.655,0.125,0.0,17,
sales-hierarchy,pgduckdb-star,direct,3,false,2113.696,2113.598,0.098,0.0,17,
sales-hierarchy,pgduckdb-star,direct,4,false,2079.444,2079.358,0.086,0.0,17,
sales-hierarchy,pgduckdb-star,direct,5,false,2258.936,2258.845,0.091,0.0,17,
unusual-days,pgduckdb-store,direct,1,true,942.365,942.277,0.088,0.0,21,
unusual-days,pgduckdb-store,direct,1,false,917.651,917.535,0.116,0.0,21,
unusual-days,pgduckdb-store,direct,2,false,910.336,910.227,0.109,0.0,21,
unusual-days,pgduckdb-store,direct,3,false,911.097,910.984,0.113,0.0,21,
unusual-days,pgduckdb-store,direct,4,false,930.507,930.372,0.135,0.0,21,
unusual-days,pgduckdb-store,direct,5,false,1091.296,1091.187,0.11,0.0,21,
unusual-days,pgduckdb-star,direct,1,true,666.88,666.789,0.091,0.0,21,
unusual-days,pgduckdb-star,direct,1,false,660.019,659.912,0.108,0.0,21,
unusual-days,pgduckdb-star,direct,2,false,660.044,659.932,0.112,0.0,21,
unusual-days,pgduckdb-star,direct,3,false,697.418,697.308,0.11,0.0,21,
unusual-days,pgduckdb-star,direct,4,false,660.84,660.738,0.101,0.0,21,
unusual-days,pgduckdb-star,direct,5,false,721.284,721.161,0.123,0.0,21,
yoy-growth,pgduckdb-store,direct,1,true,6836.096,6835.949,0.147,0.0,96,
yoy-growth,pgduckdb-store,direct,1,false,6459.17,6458.999,0.171,0.0,96,
yoy-growth,pgduckdb-store,direct,2,false,6604.078,6603.908,0.17,0.0,96,
yoy-growth,pgduckdb-store,direct,3,false,6243.547,6243.404,0.143,0.0,96,
yoy-growth,pgduckdb-store,direct,4,false,6528.009,6527.852,0.157,0.0,96,
yoy-growth,pgduckdb-store,direct,5,false,6276.174,6276.021,0.153,0.0,96,
yoy-growth,pgduckdb-star,direct,1,true,4624.945,4624.812,0.133,0.0,96,
yoy-growth,pgduckdb-star,direct,1,false,4498.218,4498.079,0.139,0.0,96,
yoy-growth,pgduckdb-star,direct,2,false,4264.498,4264.346,0.153,0.0,96,
yoy-growth,pgduckdb-star,direct,3,false,4520.199,4519.994,0.206,0.0,96,
yoy-growth,pgduckdb-star,direct,4,false,4468.895,4468.719,0.176,0.0,96,
yoy-growth,pgduckdb-star,direct,5,false,4517.919,4517.726,0.193,0.0,96,
clv-buckets,pgduckdb-store,direct,1,true,1609.459,1609.369,0.09,0.0,7,
clv-buckets,pgduckdb-store,direct,1,false,1604.988,1604.912,0.076,0.0,7,
clv-buckets,pgduckdb-store,direct,2,false,1586.849,1586.759,0.09,0.0,7,
clv-buckets,pgduckdb-store,direct,3,false,1664.086,1664.003,0.082,0.0,7,
clv-buckets,pgduckdb-store,direct,4,false,1600.925,1600.837,0.088,0.0,7,
clv-buckets,pgduckdb-store,direct,5,false,1590.994,1590.922,0.072,0.0,7,
clv-buckets,pgduckdb-star,direct,1,true,1364.232,1364.155,0.076,0.0,7,
clv-buckets,pgduckdb-star,direct,1,false,1373.032,1372.963,0.069,0.0,7,
clv-buckets,pgduckdb-star,direct,2,false,1508.005,1507.886,0.119,0.0,7,
clv-buckets,pgduckdb-star,direct,3,false,1305.467,1305.383,0.084,0.0,7,
clv-buckets,pgduckdb-star,direct,4,false,1307.359,1307.284,0.075,0.0,7,
clv-buckets,pgduckdb-star,direct,5,false,1392.458,1392.386,0.072,0.0,7,
detail-extract,pgduckdb-store,direct,1,true,6892.936,6803.857,89.079,0.0,42581,
detail-extract,pgduckdb-store,direct,1,false,7111.764,7040.06,71.703,0.0,42581,
detail-extract,pgduckdb-store,direct,2,false,7156.762,7089.429,67.333,0.0,42581,
detail-extract,pgduckdb-store,direct,3,false,6961.979,6892.316,69.663,0.0,42581,
detail-extract,pgduckdb-store,direct,4,false,7035.704,6961.419,74.286,0.0,42581,
detail-extract,pgduckdb-store,direct,5,false,14638.341,14575.239,63.102,0.0,42581,
detail-extract,pgduckdb-star,direct,1,true,922.842,853.341,69.5,0.0,42581,
detail-extract,pgduckdb-star,direct,1,false,881.699,811.852,69.847,0.0,42581,
detail-extract,pgduckdb-star,direct,2,false,851.7,783.414,68.286,0.0,42581,
detail-extract,pgduckdb-star,direct,3,false,849.448,783.625,65.823,0.0,42581,
detail-extract,pgduckdb-star,direct,4,false,908.563,838.013,70.55,0.0,42581,
detail-extract,pgduckdb-star,direct,5,false,1093.83,1029.934,63.896,0.0,42581,
customer-orders,pgduckdb-star,direct,1,true,50.012,42.187,7.824,0.0,15,
customer-orders,pgduckdb-star,direct,1,false,9.929,9.695,0.234,0.0,15,
customer-orders,pgduckdb-star,direct,2,false,9.093,8.881,0.213,0.0,15,
customer-orders,pgduckdb-star,direct,3,false,8.769,8.54,0.229,0.0,15,
customer-orders,pgduckdb-star,direct,4,false,12.764,12.525,0.239,0.0,15,
customer-orders,pgduckdb-star,direct,5,false,12.009,11.811,0.198,0.0,15,
