scenario,operation,second,latency_ms,ok
none,product page,7.090,1.239,true
none,product page,7.100,1.373,true
none,product page,7.110,1.615,true
none,checkout,7.120,13.767,true
none,order history,7.130,1.204,true
none,order history,7.140,1.696,true
none,checkout,7.150,18.798,true
none,product page,7.160,0.680,true
none,product page,7.170,1.079,true
none,order history,7.180,0.083,true
none,product page,7.190,0.917,true
none,checkout,7.200,13.452,true
none,order history,7.210,2.491,true
none,product page,7.220,1.736,true
none,order history,7.230,1.044,true
none,product page,7.240,1.662,true
none,checkout,7.250,15.427,true
none,product page,7.260,0.526,true
none,product page,7.270,0.740,true
none,product page,7.280,0.358,true
none,order history,7.290,1.261,true
none,checkout,7.300,13.234,true
none,product page,7.310,1.123,true
none,product page,7.320,1.527,true
none,checkout,7.330,14.233,true
none,checkout,7.340,15.847,true
none,product page,7.350,1.100,true
none,order history,7.360,1.143,true
none,product page,7.370,0.860,true
none,product page,7.380,0.677,true
none,checkout,7.390,15.002,true
none,product page,7.400,0.929,true
none,product page,7.410,1.573,true
none,checkout,7.420,15.332,true
none,order history,7.430,0.979,true
none,product page,7.440,1.445,true
none,order history,7.450,1.150,true
none,product page,7.460,1.071,true
none,product page,7.470,1.661,true
none,product page,7.480,1.006,true
none,checkout,7.490,13.298,true
none,order history,7.500,1.188,true
none,product page,7.510,1.399,true
none,order history,7.520,1.245,true
none,order history,7.530,1.406,true
none,product page,7.540,1.449,true
none,product page,7.550,1.523,true
none,product page,7.560,0.601,true
none,order history,7.570,0.302,true
none,order history,7.580,0.183,true
none,product page,7.590,1.770,true
none,order history,7.600,0.422,true
none,order history,7.610,0.911,true
none,product page,7.620,1.827,true
none,checkout,7.630,23.894,true
none,product page,7.640,2.384,true
none,product page,7.650,1.296,true
none,product page,7.660,0.962,true
none,product page,7.670,2.368,true
none,checkout,7.680,29.229,true
none,product page,7.690,5.148,true
none,product page,7.700,2.073,true
none,product page,7.710,2.651,true
none,product page,7.720,2.122,true
none,product page,7.730,2.092,true
none,product page,7.740,3.534,true
none,product page,7.750,2.290,true
none,product page,7.760,1.363,true
none,product page,7.770,1.745,true
none,product page,7.780,1.886,true
none,product page,7.790,2.386,true
none,product page,7.800,2.421,true
none,product page,7.810,2.652,true
none,product page,7.820,1.240,true
none,product page,7.830,0.761,true
none,product page,7.840,1.476,true
none,product page,7.850,0.413,true
none,checkout,7.860,13.833,true
none,product page,7.870,0.860,true
none,order history,7.880,1.008,true
none,product page,7.890,1.195,true
none,order history,7.900,0.852,true
none,product page,7.910,1.687,true
none,checkout,7.920,15.360,true
none,product page,7.930,1.326,true
none,product page,7.940,0.674,true
none,order history,7.950,0.759,true
none,checkout,7.960,14.394,true
none,product page,7.970,2.418,true
none,order history,7.980,1.511,true
none,product page,7.990,1.811,true
none,product page,8.000,0.846,true
none,product page,8.010,1.227,true
none,product page,8.020,1.220,true
none,product page,8.030,1.324,true
none,product page,8.040,1.875,true
none,product page,8.050,0.563,true
none,product page,8.060,1.217,true
none,product page,8.070,1.691,true
none,product page,8.080,1.513,true
none,order history,8.090,-0.001,true
none,order history,8.100,0.185,true
none,product page,8.110,0.962,true
none,product page,8.120,2.148,true
none,product page,8.130,1.866,true
none,checkout,8.140,17.366,true
none,product page,8.150,1.589,true
none,product page,8.160,1.993,true
none,product page,8.170,1.998,true
none,product page,8.180,0.852,true
none,product page,8.190,0.587,true
none,product page,8.200,0.998,true
none,product page,8.210,0.640,true
none,product page,8.220,1.042,true
none,product page,8.230,1.733,true
none,order history,8.240,1.065,true
none,product page,8.250,1.266,true
none,product page,8.260,1.187,true
