scenario,operation,second,latency_ms,ok
none,product page,7.090,0.755,true
none,product page,7.100,0.393,true
none,product page,7.110,0.489,true
none,checkout,7.120,8.915,true
none,product page,7.130,0.897,true
none,product page,7.140,1.275,true
none,order history,7.150,-0.452,true
none,product page,7.160,0.360,true
none,order history,7.170,-0.141,true
none,product page,7.180,-0.859,true
none,product page,7.190,0.705,true
none,checkout,7.200,8.652,true
none,checkout,7.210,8.215,true
none,product page,7.220,0.456,true
none,checkout,7.230,9.053,true
none,order history,7.240,0.506,true
none,checkout,7.250,9.624,true
none,product page,7.260,-0.056,true
none,product page,7.270,0.415,true
none,product page,7.280,0.473,true
none,order history,7.290,0.017,true
none,product page,7.300,0.752,true
none,product page,7.310,0.819,true
none,checkout,7.320,8.609,true
none,product page,7.330,1.955,true
none,product page,7.340,-0.372,true
none,product page,7.350,-0.010,true
none,product page,7.360,0.116,true
none,product page,7.370,0.011,true
none,product page,7.380,0.736,true
none,product page,7.390,0.800,true
none,checkout,7.400,10.344,true
none,order history,7.410,0.353,true
none,order history,7.420,0.318,true
none,product page,7.430,1.126,true
none,order history,7.440,0.360,true
none,product page,7.450,0.200,true
none,product page,7.460,0.381,true
none,product page,7.470,0.567,true
none,product page,7.480,0.641,true
none,product page,7.490,0.863,true
none,product page,7.500,0.909,true
none,product page,7.510,2.043,true
none,product page,7.520,1.194,true
none,product page,7.530,0.214,true
none,product page,7.540,0.252,true
none,product page,7.550,1.408,true
none,checkout,7.560,18.730,true
none,product page,7.570,0.340,true
none,checkout,7.580,8.724,true
none,product page,7.590,1.048,true
none,product page,7.600,1.192,true
none,order history,7.610,1.588,true
none,product page,7.620,0.578,true
none,order history,7.630,-0.192,true
none,product page,7.640,0.234,true
none,product page,7.650,0.534,true
none,product page,7.660,0.297,true
none,product page,7.670,0.469,true
none,order history,7.680,0.366,true
none,product page,7.690,0.634,true
none,product page,7.700,1.300,true
none,order history,7.710,0.648,true
none,product page,7.720,0.534,true
none,product page,7.730,0.523,true
none,order history,7.740,0.066,true
none,product page,7.750,0.751,true
none,product page,7.760,0.845,true
none,order history,7.770,0.208,true
none,product page,7.780,0.833,true
none,checkout,7.790,18.832,true
none,product page,7.800,1.928,true
none,order history,7.810,-0.521,true
none,checkout,7.820,8.973,true
none,product page,7.830,0.200,true
none,order history,7.840,-0.117,true
